order_id,order_date,region,category,units,unit_price,customer_age,discount
ORD-00051,2023-05-23,North,Electronics,11,190.23,18.0,0.04
ORD-00052,2023-09-24,North,Clothing,5,85.34,54.0,0.22
ORD-00053,2023-12-08,North,Clothing,8,77.95,54.0,0.16
ORD-00054,2023-12-30,NORTH,Sports,8,108.8,24.0,0.29
ORD-00055,2023-02-02,East,Sports,8,62.14,8.0,0.34
ORD-00056,2024-02-04,west,Electronics,7,39.44,37.0,0.09
ORD-00057,2023-04-23,north,Books,6,125.13,51.0,0.05
ORD-00058,2024-06-27,south,Books,8,105.93,57.0,0.28
ORD-00059,2024-05-14,East,Clothing,10,33.01,28.0,0.24
ORD-00060,2024-11-05,west,Home,5,52.65,59.0,0.17
ORD-00061,2024-06-28,EAST,Books,6,85.82,11.0,0.03
ORD-00062,2023-09-26,NORTH,Clothing,2,17.02,34.0,0.13
ORD-00063,2024-12-08,East,Electronics,4,85.61,33.0,0.1
ORD-00064,2023-10-28,south,Clothing,9,79.27,52.0,0.1
ORD-00065,2023-08-27,West,Clothing,8,23.48,54.0,0.09
ORD-00066,2024-10-23,SOUTH,Clothing,3,170.52,49.0,0.22
ORD-00067,2023-09-28,east,Clothing,7,48.19,22.0,0.03
ORD-00068,2023-02-25,NORTH,Electronics,9,44.96,48.0,0.22
ORD-00069,2023-12-10,SOUTH,Sports,2,112.34,44.0,0.08
ORD-00070,2024-08-04,West,Electronics,1,126.23,18.0,0.14
ORD-00071,2023-05-19,,Books,5,28.96,13.0,0.33
ORD-00072,2023-12-05,,Books,8,57.77,50.0,0.12
ORD-00073,2023-04-05,west,Books,4,12.22,36.0,0.13
ORD-00074,2024-05-16,west,Sports,10,108.39,23.0,0.13
ORD-00075,2023-12-14,South,Electronics,10,62.7,36.0,0.3
ORD-00076,2023-08-30,SOUTH,Clothing,6,19.27,42.0,0.08
ORD-00077,2023-06-15,south,Electronics,5,36.55,37.0,0.2
ORD-00078,2024-02-17,,Home,1,26.92,19.0,0.1
ORD-00079,2024-05-04,,Books,10,34.97,61.0,0.08
ORD-00080,2024-11-18,North,Sports,10,13.38,50.0,0.04
ORD-00081,2023-11-16,west,Clothing,5,146.39,34.0,0.12
ORD-00082,2023-04-28,WEST,Clothing,6,29.84,34.0,0.05
ORD-00083,2024-08-31,west,Sports,9,64.87,42.0,0.1
ORD-00084,2024-04-05,WEST,Books,8,85.32,24.0,0.03
ORD-00085,2024-05-26,EAST,Books,2,126.35,42.0,0.2
ORD-00086,2023-03-13,west,Home,8,66.39,22.0,0.21
ORD-00087,2023-08-17,WEST,Home,11,53.68,37.0,0.17
ORD-00088,2024-07-15,south,Clothing,9,68.27,24.0,0.03
ORD-00089,2024-08-31,south,Books,6,28.82,25.0,0.16
ORD-00090,2023-11-15,NORTH,Clothing,6,30.71,58.0,0.03
ORD-00091,2024-08-11,East,Sports,3,52.81,39.0,0.07
ORD-00092,2024-09-07,NORTH,Electronics,8,9.15,40.0,0.29
ORD-00093,2023-10-11,north,Home,3,39.45,14.0,0.1
ORD-00094,2024-10-18,east,Clothing,4,46.09,31.0,0.15
ORD-00095,2023-07-30,SOUTH,Books,3,191.43,44.0,0.37
ORD-00096,2023-06-25,north,Books,4,136.49,40.0,0.02
ORD-00097,2024-05-13,WEST,Sports,5,85.12,12.0,0.33
ORD-00098,2024-04-10,west,Books,1,110.09,40.0,0.3
ORD-00099,2023-04-13,North,Clothing,8,30.51,42.0,0.38
ORD-00100,2024-08-31,north,Clothing,5,69.5,53.0,0.12
ORD-00101,2023-05-27,South,Sports,11,101.68,,0.38
ORD-00102,2024-08-11,WEST,Home,2,30.73,11.0,0.05
ORD-00103,2023-01-06,West,Electronics,8,19.97,26.0,0.26
ORD-00104,2024-08-05,north,Sports,2,79.4,25.0,0.23
ORD-00105,2024-07-29,WEST,Books,7,21.96,47.0,0.01
ORD-00106,2024-07-24,North,Electronics,6,90.18,5.0,0.09
ORD-00107,2024-05-01,south,Books,5,125.01,33.0,0.23
ORD-00108,2023-12-11,west,Books,8,31.51,55.0,0.27
ORD-00109,2024-05-30,north,Books,10,33.43,,0.6
ORD-00110,2023-07-22,NORTH,Sports,4,122.75,49.0,0.35
ORD-00111,2024-07-24,South,Home,10,66.63,18.0,0.15
ORD-00112,2024-02-11,east,Home,3,112.76,19.0,0.04
ORD-00113,2023-12-02,West,Books,4,54.18,55.0,0.03
ORD-00114,2024-01-05,west,Electronics,4,57.05,,0.21
ORD-00115,2024-02-20,NORTH,Electronics,11,65.47,39.0,0.17
ORD-00116,2023-01-28,North,Sports,2,168.19,25.0,0.15
ORD-00117,2023-04-13,west,Clothing,5,107.32,39.0,0.33
ORD-00118,2023-06-29,North,Home,5,38.49,24.0,0.3
ORD-00119,2023-03-25,West,Clothing,9,72.86,52.0,0.02
ORD-00120,2023-11-18,EAST,Clothing,6,51.56,71.0,0.2
ORD-00121,2024-05-03,NORTH,Home,11,1320.3003764001041,44.0,0.25
ORD-00122,2024-04-23,WEST,Sports,9,88.57,30.0,0.06
ORD-00123,2023-12-11,north,Home,8,77.34,8.0,0.01
ORD-00124,2024-09-17,south,Electronics,9,31.79,18.0,0.33
ORD-00125,2024-02-18,EAST,Clothing,2,65.58,57.0,0.3
ORD-00126,2023-02-27,south,Electronics,5,43.97,26.0,0.11
ORD-00127,2024-07-13,EAST,Sports,7,85.02,,0.07
ORD-00128,2024-02-25,East,Clothing,3,42.56,46.0,0.22
ORD-00129,2024-04-08,West,Clothing,2,57.29,56.0,0.15
ORD-00130,2024-02-18,west,Electronics,2,45.86,36.0,0.17
ORD-00131,2024-02-09,South,Home,9,15.43,33.0,0.03
ORD-00132,2023-03-08,North,Sports,8,163.14,39.0,0.05
ORD-00133,2024-02-13,East,Home,4,65.09,30.0,0.15
ORD-00134,2024-08-04,West,Books,9,166.59,31.0,0.16
ORD-00135,2023-08-11,SOUTH,Electronics,8,67.08,43.0,0.35
ORD-00136,2024-03-16,south,Electronics,9,98.8,40.0,0.11
ORD-00137,2023-01-23,SOUTH,Books,11,40.4,64.0,0.04
ORD-00138,2023-09-12,North,Electronics,10,41.15,43.0,0.15
ORD-00139,2023-11-16,East,Home,2,62.68,52.0,0.24
ORD-00140,2024-12-19,south,Clothing,9,165.68,25.0,0.13
ORD-00141,2023-06-06,WEST,Electronics,5,32.66,44.0,0.45
ORD-00142,2023-07-22,WEST,Home,5,12.17,29.0,0.52
ORD-00143,2023-10-26,WEST,Sports,8,121.0,43.0,0.38
ORD-00144,2024-12-26,south,Electronics,7,3372.210960645215,46.0,0.35
ORD-00145,2024-09-15,SOUTH,Sports,5,47.73,39.0,0.31
ORD-00146,2023-01-26,East,Home,11,204.98,67.0,0.31
ORD-00147,2023-06-21,west,Books,2,,55.0,0.09
ORD-00148,2024-08-23,South,Electronics,2,14.45,52.0,0.13
ORD-00149,2023-02-12,West,Sports,1,39.71,47.0,0.22
ORD-00150,2024-09-17,north,Electronics,9,62.37,59.0,0.26
ORD-00151,2023-07-25,WEST,Sports,5,83.54,21.0,0.32
ORD-00152,2024-11-01,North,Books,5,75.64,54.0,0.24
ORD-00153,2023-08-03,NORTH,Clothing,8,64.93,26.0,0.16
ORD-00154,2023-11-14,south,Electronics,5,28.92,,0.11
ORD-00155,2024-04-28,NORTH,Books,7,90.3,45.0,0.19
ORD-00156,2023-04-03,North,Electronics,1,93.57,53.0,0.14
ORD-00157,2024-02-12,NORTH,Books,2,,24.0,0.11
ORD-00158,2024-01-05,South,Books,11,25.77,32.0,0.13
ORD-00159,2024-07-27,west,Clothing,5,,39.0,0.08
ORD-00160,2024-12-29,NORTH,Clothing,2,46.08,36.0,0.14
ORD-00161,2024-04-30,EAST,Clothing,5,25.38,48.0,0.23
ORD-00162,2023-10-27,West,Clothing,4,55.17,79.0,0.11
ORD-00163,2023-10-25,North,Electronics,4,30.07,43.0,0.43
ORD-00164,2023-11-02,north,Clothing,4,,29.0,0.24
ORD-00165,2024-08-18,west,Books,9,103.47,22.0,0.31
ORD-00166,2023-08-23,West,Clothing,2,47.55,34.0,0.21
ORD-00167,2023-05-03,South,Books,4,38.29,27.0,0.07
ORD-00168,2023-09-02,West,Sports,6,133.45,44.0,0.18
ORD-00169,2023-01-17,North,Books,6,95.35,43.0,0.36
ORD-00170,2023-03-19,south,Home,10,10.95,32.0,0.09
ORD-00171,2023-03-07,East,Clothing,11,83.9,62.0,0.06
ORD-00172,2024-07-18,NORTH,Sports,4,83.64,29.0,0.15
ORD-00173,2024-06-12,WEST,Clothing,6,53.58,37.0,0.12
ORD-00174,2024-05-24,South,Home,1,52.18,46.0,0.23
ORD-00175,2023-12-04,WEST,Home,7,17.1,49.0,0.16
ORD-00176,2024-06-08,,Books,2,203.56,53.0,0.35
ORD-00177,2023-04-28,south,Home,1,55.02,,0.03
ORD-00178,2024-10-20,North,Books,8,80.99,51.0,0.38
ORD-00179,2024-01-02,North,Sports,2,57.14,30.0,0.12
ORD-00180,2024-11-16,west,Clothing,6,38.77,49.0,0.17
ORD-00181,2023-04-22,NORTH,Sports,2,108.49,49.0,0.18
ORD-00182,2023-12-30,North,Electronics,9,71.41,56.0,0.06
ORD-00183,2024-05-24,North,Sports,9,55.34,18.0,0.2
ORD-00184,2023-12-29,north,Electronics,7,80.43,27.0,0.18
ORD-00185,2023-11-23,WEST,Sports,10,60.81,48.0,0.22
ORD-00186,2023-05-02,South,Clothing,5,173.49,6.0,0.12
ORD-00187,2023-10-06,WEST,Sports,3,106.2,44.0,0.08
ORD-00188,2023-06-24,north,Electronics,2,88.97,51.0,0.03
ORD-00189,2023-08-09,East,Home,3,18.96,31.0,0.16
ORD-00190,2024-05-14,SOUTH,Sports,3,90.95,33.0,0.03
ORD-00191,2024-04-05,South,Electronics,4,89.52,25.0,0.72
ORD-00192,2024-03-19,west,Clothing,3,30.49,32.0,0.33
ORD-00193,2023-09-22,west,Electronics,7,18.58,32.0,0.12
ORD-00194,2024-12-02,WEST,Clothing,2,103.5,30.0,0.1
ORD-00195,2023-03-06,NORTH,Clothing,7,111.64,29.0,0.21
ORD-00196,2023-09-08,NORTH,Books,4,41.31,35.0,0.08
ORD-00197,2023-03-28,east,Clothing,8,39.96,35.0,0.48
ORD-00198,2023-09-05,North,Electronics,6,70.6,60.0,0.16
ORD-00199,2024-12-04,East,Electronics,10,47.44,33.0,0.19
ORD-00200,2023-09-25,east,Sports,5,18.22,42.0,0.15
ORD-00201,2024-10-26,east,Sports,4,30.22,31.0,0.15
ORD-00202,2023-12-28,West,Clothing,7,79.09,31.0,0.17
ORD-00203,2024-05-26,East,Electronics,8,31.57,18.0,0.11
ORD-00204,2023-12-01,north,Electronics,5,115.15,19.0,0.21
ORD-00205,2023-07-14,NORTH,Sports,7,88.6,24.0,0.49
ORD-00206,2024-07-12,EAST,Books,6,81.15,40.0,0.19
ORD-00207,2024-12-09,SOUTH,Books,4,69.63,51.0,0.33
ORD-00208,2023-07-12,north,Clothing,4,37.48,17.0,0.05
ORD-00209,2024-07-23,SOUTH,Books,10,96.38,31.0,0.22
ORD-00210,2023-07-10,west,Electronics,8,36.69,22.0,0.22
ORD-00211,2024-06-08,west,Books,2,119.14,35.0,0.4
ORD-00212,2024-07-30,East,Home,11,157.25,51.0,0.19
ORD-00213,2023-11-25,south,Clothing,8,71.13,33.0,0.11
ORD-00214,2024-06-22,North,Books,1,144.77,37.0,0.16
ORD-00215,2023-07-19,south,Books,9,30.55,55.0,0.29
ORD-00216,2023-02-27,SOUTH,Home,7,1459.0959035620956,43.0,0.25
ORD-00217,2023-03-12,east,Electronics,11,63.84,29.0,0.34
ORD-00218,2023-11-23,East,Electronics,6,104.61,40.0,0.07
ORD-00219,2024-10-21,NORTH,Sports,6,11.57,28.0,0.09
ORD-00220,2023-04-04,NORTH,Clothing,4,100.76,43.0,0.05
ORD-00221,2023-11-30,north,Clothing,4,40.16,,0.14
ORD-00222,2024-05-29,West,Books,7,65.96,22.0,0.04
ORD-00223,2023-05-28,East,Clothing,10,201.47,40.0,0.12
ORD-00224,2024-06-11,North,Clothing,10,91.13,37.0,0.17
ORD-00225,2023-08-12,WEST,Books,9,83.66,45.0,0.11
ORD-00226,2024-08-14,South,Home,7,79.36,48.0,0.04
ORD-00227,2024-02-28,south,Books,6,126.85,44.0,0.15
ORD-00228,2024-02-04,WEST,Electronics,4,106.85,34.0,0.17
ORD-00229,2023-05-10,NORTH,Home,9,79.92,49.0,0.1
ORD-00230,2023-12-05,North,Home,4,73.66,28.0,0.15
ORD-00231,2024-09-18,EAST,Books,3,70.5,,0.08
ORD-00232,2023-01-15,NORTH,Electronics,10,61.51,-0.0,0.29
ORD-00233,2024-07-08,east,Electronics,7,937.8209716682032,37.0,0.2
ORD-00234,2023-12-27,North,Books,4,89.9,28.0,0.54
ORD-00235,2024-06-09,NORTH,Books,10,43.11,43.0,0.34
ORD-00236,2024-04-29,north,Sports,11,56.58,14.0,0.11
ORD-00237,2023-11-12,south,Clothing,4,111.36,30.0,0.08
ORD-00238,2023-08-14,north,Sports,6,62.49,44.0,0.5
ORD-00239,2024-04-03,North,Clothing,6,59.27,26.0,0.17
ORD-00240,2023-04-13,west,Books,8,71.27,43.0,0.22
ORD-00241,2024-03-02,South,Electronics,11,51.72,31.0,0.34
ORD-00242,2023-03-11,South,Sports,7,198.87,38.0,0.39
ORD-00243,2024-04-20,north,Clothing,9,182.58,45.0,0.15
ORD-00244,2024-04-04,South,Sports,7,,49.0,0.11
ORD-00245,2023-03-03,NORTH,Clothing,10,79.53,39.0,0.29
ORD-00246,2024-07-07,EAST,Books,5,41.15,28.0,0.04
ORD-00247,2023-10-31,north,Home,5,113.22,33.0,0.19
ORD-00248,2024-07-29,west,Electronics,5,52.0,46.0,0.18
ORD-00249,2023-01-31,West,Electronics,11,119.41,26.0,0.32
ORD-00250,2023-05-12,North,Books,7,39.77,36.0,0.15
ORD-00251,2023-12-28,NORTH,Electronics,2,,33.0,0.24
ORD-00252,2023-05-18,north,Clothing,1,129.87,37.0,0.2
ORD-00253,2023-08-30,EAST,Home,6,54.02,26.0,0.1
ORD-00254,2024-04-27,North,Clothing,9,53.89,16.0,0.11
ORD-00255,2023-04-16,West,Electronics,6,20.24,44.0,0.24
ORD-00256,2024-05-10,west,Books,7,40.66,50.0,0.48
ORD-00257,2023-03-17,WEST,Books,9,78.53,,0.15
ORD-00258,2023-05-09,south,Books,6,86.29,42.0,0.09
ORD-00259,2024-03-05,WEST,Sports,10,94.4,51.0,0.23
ORD-00260,2024-08-03,North,Electronics,8,14.09,45.0,0.1
ORD-00261,2023-05-05,SOUTH,Home,9,52.17,33.0,0.22
ORD-00262,2023-08-08,south,Clothing,9,22.32,27.0,0.19
ORD-00263,2024-11-07,West,Sports,7,76.0,39.0,0.3
ORD-00264,2024-12-24,east,Home,1,17.12,41.0,0.1
ORD-00265,2024-02-29,WEST,Electronics,5,27.89,39.0,0.16
ORD-00266,2023-11-23,NORTH,Books,2,105.72,36.0,0.41
ORD-00267,2023-09-11,West,Electronics,6,44.12,25.0,0.43
ORD-00268,2024-03-23,SOUTH,Clothing,2,145.52,43.0,0.08
ORD-00269,2024-03-07,South,Books,6,95.96,44.0,0.24
ORD-00270,2023-08-04,west,Home,4,54.23,40.0,0.59
ORD-00271,2023-01-17,south,Books,1,116.16,39.0,0.41
ORD-00272,2023-04-21,SOUTH,Home,2,57.44,58.0,0.26
ORD-00273,2024-12-01,east,Sports,6,101.99,31.0,0.18
ORD-00274,2023-11-02,North,Home,1,39.21,53.0,0.19
ORD-00275,2023-12-19,south,Electronics,10,120.34,29.0,0.02
ORD-00276,2023-12-08,NORTH,Electronics,9,18.57,51.0,0.07
ORD-00277,2024-07-26,NORTH,Books,8,27.86,53.0,0.3
ORD-00278,2023-02-17,West,Electronics,2,31.74,34.0,0.13
ORD-00279,2023-03-02,east,Clothing,9,42.3,58.0,0.14
ORD-00280,2023-07-21,South,Electronics,7,80.34,44.0,0.1
ORD-00281,2023-12-22,south,Clothing,5,64.75,27.0,0.06
ORD-00282,2024-05-05,south,Home,1,102.73,34.0,0.06
ORD-00283,2023-12-25,EAST,Electronics,6,130.98,52.0,0.19
ORD-00284,2023-11-19,West,Home,9,16.81,49.0,0.23
ORD-00285,2024-11-16,WEST,Sports,1,140.67,25.0,0.05
ORD-00286,2023-04-28,SOUTH,Electronics,1,56.58,36.0,0.13
ORD-00287,2024-02-22,south,Electronics,5,177.62,,0.14
ORD-00288,2024-02-01,south,Clothing,6,,32.0,0.1
ORD-00289,2023-12-13,east,Sports,6,12.66,66.0,0.17
ORD-00290,2024-08-13,South,Home,5,96.64,41.0,0.31
ORD-00291,2023-07-15,EAST,Books,3,92.89,37.0,0.22
ORD-00292,2024-11-28,east,Electronics,1,28.45,52.0,0.15
ORD-00293,2023-08-31,South,Books,1,30.75,34.0,0.19
ORD-00294,2024-02-03,south,Electronics,2,107.53,50.0,0.36
ORD-00295,2024-01-16,SOUTH,Books,8,82.84,18.0,0.2
ORD-00296,2024-09-13,NORTH,Electronics,9,52.74,33.0,0.22
ORD-00297,2023-11-17,North,Sports,5,88.24,51.0,0.12
ORD-00298,2023-07-28,EAST,Clothing,1,77.63,57.0,0.06
ORD-00299,2023-01-16,SOUTH,Electronics,5,33.32,29.0,0.02
ORD-00300,2023-09-23,North,Clothing,11,112.54,27.0,0.13
ORD-00301,2024-08-27,east,Electronics,3,99.34,45.0,0.17
ORD-00302,2023-01-08,WEST,Electronics,6,65.73,31.0,0.17
ORD-00303,2024-10-17,North,Home,6,107.58,35.0,0.04
ORD-00304,2024-02-01,west,Clothing,4,190.97,49.0,0.08
ORD-00305,2023-04-13,west,Clothing,5,30.46,31.0,0.24
ORD-00306,2023-08-09,East,Sports,6,54.4,14.0,0.17
ORD-00307,2024-02-10,East,Electronics,6,56.26,22.0,0.24
ORD-00308,2023-08-19,north,Clothing,8,106.12,38.0,0.55
ORD-00309,2023-03-21,West,Electronics,7,41.92,16.0,0.16
ORD-00310,2024-05-01,South,Home,1,102.46,34.0,0.13
ORD-00311,2024-05-06,West,Clothing,1,45.57,21.0,0.18
ORD-00312,2023-03-28,East,Electronics,5,27.75,58.0,0.18
ORD-00313,2023-07-25,north,Electronics,10,68.33,64.0,0.22
ORD-00314,2023-06-28,North,Sports,1,44.86,25.0,0.16
ORD-00315,2024-04-27,east,Electronics,1,72.85,41.0,0.43
ORD-00316,2024-06-17,EAST,Books,8,84.44,26.0,0.15
ORD-00317,2024-06-15,north,Sports,5,17.93,34.0,0.54
ORD-00318,2024-11-17,EAST,Home,3,48.62,60.0,0.17
ORD-00319,2024-07-15,West,Clothing,3,68.37,32.0,0.09
ORD-00320,2023-08-23,SOUTH,Books,8,107.86,35.0,0.08
ORD-00321,2023-03-20,South,Sports,6,99.8,27.0,0.23
ORD-00322,2024-03-25,North,Electronics,8,35.51,52.0,0.11
ORD-00323,2024-10-31,,Sports,4,58.17,-1.0,0.28
ORD-00324,2024-12-13,SOUTH,Sports,6,87.24,33.0,0.08
ORD-00325,2023-06-18,west,Electronics,10,55.46,37.0,0.05
ORD-00326,2023-06-22,SOUTH,Electronics,4,38.14,,0.05
ORD-00327,2023-01-28,EAST,Books,5,63.1,48.0,0.33
ORD-00328,2023-04-14,north,Electronics,2,82.08,52.0,0.05
ORD-00329,2024-02-10,North,Books,8,32.97,21.0,0.29
ORD-00330,2024-02-04,west,Electronics,1,93.26,63.0,0.22
ORD-00331,2023-09-29,south,Books,3,71.03,21.0,0.32
ORD-00332,2023-08-15,south,Clothing,8,95.39,53.0,0.35
ORD-00333,2024-08-29,West,Electronics,1,62.16,40.0,0.11
ORD-00334,2023-12-03,WEST,Electronics,11,173.89,32.0,0.22
ORD-00335,2024-08-13,west,Electronics,5,,33.0,0.24
ORD-00336,2024-12-05,NORTH,Home,5,102.18,38.0,0.36
ORD-00337,2023-08-20,east,Electronics,6,93.03,-5.0,0.03
ORD-00338,2023-05-29,west,Sports,8,57.66,27.0,0.07
ORD-00339,2024-11-27,South,Books,6,76.49,35.0,0.1
ORD-00340,2024-04-09,NORTH,Clothing,10,42.63,29.0,0.17
ORD-00341,2023-08-01,West,Sports,11,166.39,23.0,0.43
ORD-00342,2024-03-30,South,Books,3,86.83,28.0,0.26
ORD-00343,2024-01-12,EAST,Books,8,36.49,24.0,0.14
ORD-00344,2024-10-23,west,Electronics,4,144.03,33.0,0.22
ORD-00345,2023-07-07,east,Books,11,59.66,43.0,0.24
ORD-00346,2024-12-25,South,Home,3,111.14,39.0,0.19
ORD-00347,2024-11-15,South,Sports,4,17.51,62.0,0.28
ORD-00348,2023-05-13,south,Home,8,128.4,,0.13
ORD-00349,2023-05-01,North,Books,9,84.59,44.0,0.32
ORD-00350,2024-01-25,west,Clothing,2,34.35,38.0,0.05
ORD-00351,2023-02-02,WEST,Electronics,7,83.66,350.0,0.14
ORD-00352,2023-08-07,north,Electronics,4,156.45,47.0,0.44
ORD-00353,2023-11-15,south,Sports,7,43.54,36.0,0.35
ORD-00354,2024-12-09,West,Books,7,43.13,40.0,0.3
ORD-00355,2024-12-26,north,Clothing,11,57.07,29.0,0.26
ORD-00356,2023-04-21,SOUTH,Books,11,67.95,45.0,0.33
ORD-00357,2024-10-13,south,Electronics,8,115.63,,0.38
ORD-00358,2023-03-08,EAST,Electronics,8,87.56,47.0,0.17
ORD-00359,2024-07-01,NORTH,Home,10,57.04,38.0,0.11
ORD-00360,2024-09-10,EAST,Books,3,78.61,32.0,0.11
ORD-00361,2024-10-13,south,Sports,8,171.82,35.0,0.31
ORD-00362,2023-06-13,East,Books,9,97.14,36.0,0.05
ORD-00363,2024-10-15,North,Clothing,2,61.19,54.0,0.27
ORD-00364,2023-03-26,SOUTH,Sports,10,55.91,77.0,0.36
ORD-00365,2024-01-15,south,Home,8,75.67,53.0,0.11
ORD-00366,2023-12-10,NORTH,Sports,4,114.76,31.0,0.09
ORD-00367,2023-08-19,NORTH,Electronics,6,39.26,46.0,0.26
ORD-00368,2023-01-17,north,Electronics,6,105.34,46.0,0.06
ORD-00369,2024-07-18,South,Electronics,11,60.38,27.0,0.2
ORD-00370,2023-09-03,NORTH,Sports,11,66.4,,0.25
ORD-00371,2024-04-28,West,Electronics,9,253.5,37.0,0.17
ORD-00372,2023-10-27,south,Sports,8,,48.0,0.27
ORD-00373,2023-10-01,West,Books,2,45.85,19.0,0.34
ORD-00374,2024-10-09,West,Electronics,11,84.43,29.0,0.09
ORD-00375,2023-03-11,north,Sports,2,118.27,45.0,0.28
ORD-00376,2024-06-22,east,Electronics,2,99.54,39.0,0.13
ORD-00377,2024-06-29,west,Electronics,1,10.7,55.0,0.23
ORD-00378,2023-10-05,east,Home,11,,21.0,0.08
ORD-00379,2023-07-11,south,Clothing,6,86.76,66.0,0.2
ORD-00380,2023-01-04,South,Clothing,3,82.43,20.0,0.13
ORD-00381,2024-11-15,North,Electronics,1,48.46,14.0,0.22
ORD-00382,2024-11-23,SOUTH,Books,5,100.59,37.0,0.16
ORD-00383,2023-06-26,WEST,Electronics,8,128.73,24.0,0.2
ORD-00384,2023-01-24,west,Clothing,11,18.43,38.0,0.29
ORD-00385,2023-03-31,North,Home,7,16.98,37.0,0.35
ORD-00386,2023-02-19,EAST,Home,7,83.97,36.0,0.28
ORD-00387,2024-08-30,SOUTH,Books,10,105.71,28.0,0.18
ORD-00388,2024-10-13,West,Clothing,10,43.67,43.0,0.16
ORD-00389,2023-04-23,North,Books,4,11.32,34.0,0.04
ORD-00390,2024-06-29,West,Books,11,,51.0,0.13
ORD-00391,2023-05-12,WEST,Clothing,6,83.21,36.0,0.33
ORD-00392,2023-09-26,NORTH,Clothing,11,54.01,26.0,0.37
ORD-00393,2024-03-14,north,Home,2,120.05,18.0,0.29
ORD-00394,2024-06-10,West,Home,2,80.06,36.0,0.05
ORD-00395,2024-10-01,north,Electronics,10,40.42,23.0,0.07
ORD-00396,2023-02-02,South,Home,8,43.44,22.0,0.12
ORD-00397,2023-05-24,West,Electronics,2,66.26,44.0,0.52
ORD-00398,2023-07-25,East,Home,10,51.56,17.0,0.05
ORD-00399,2023-08-15,,Sports,2,16.04,55.0,0.27
ORD-00400,2024-12-30,South,Home,8,75.77,40.0,0.17
