order_id,order_date,region,category,units,unit_price,customer_age,discount,revenue,month
ORD-00063,2024-12-08,East,Electronics,4,85.61,33.0,0.1,308.2,2024-12
ORD-00064,2023-10-28,South,Clothing,9,79.27,52.0,0.1,642.09,2023-10
ORD-00065,2023-08-27,West,Clothing,8,23.48,54.0,0.09,170.93,2023-08
ORD-00066,2024-10-23,South,Clothing,3,170.52,49.0,0.22,399.02,2024-10
ORD-00067,2023-09-28,East,Clothing,7,48.19,22.0,0.03,327.21,2023-09
ORD-00068,2023-02-25,North,Electronics,9,44.96,48.0,0.22,315.62,2023-02
ORD-00069,2023-12-10,South,Sports,2,112.34,44.0,0.08,206.71,2023-12
ORD-00070,2024-08-04,West,Electronics,1,126.23,18.0,0.14,108.56,2024-08
ORD-00071,2023-05-19,North,Books,5,28.96,37.0,0.33,97.02,2023-05
ORD-00072,2023-12-05,North,Books,8,57.77,50.0,0.12,406.7,2023-12
ORD-00073,2023-04-05,West,Books,4,12.22,36.0,0.13,42.53,2023-04
ORD-00074,2024-05-16,West,Sports,10,108.39,23.0,0.13,942.99,2024-05
ORD-00075,2023-12-14,South,Electronics,10,62.7,36.0,0.3,438.9,2023-12
ORD-00076,2023-08-30,South,Clothing,6,19.27,42.0,0.08,106.37,2023-08
ORD-00077,2023-06-15,South,Electronics,5,36.55,37.0,0.2,146.2,2023-06
ORD-00078,2024-02-17,North,Home,1,26.92,19.0,0.1,24.23,2024-02
ORD-00079,2024-05-04,North,Books,10,34.97,61.0,0.08,321.72,2024-05
ORD-00080,2024-11-18,North,Sports,10,13.38,50.0,0.04,128.45,2024-11
ORD-00081,2023-11-16,West,Clothing,5,146.39,34.0,0.12,644.12,2023-11
ORD-00082,2023-04-28,West,Clothing,6,29.84,34.0,0.05,170.09,2023-04
ORD-00083,2024-08-31,West,Sports,9,64.87,42.0,0.1,525.45,2024-08
ORD-00084,2024-04-05,West,Books,8,85.32,24.0,0.03,662.08,2024-04
ORD-00085,2024-05-26,East,Books,2,126.35,42.0,0.2,202.16,2024-05
ORD-00086,2023-03-13,West,Home,8,66.39,22.0,0.21,419.58,2023-03
ORD-00087,2023-08-17,West,Home,11,53.68,37.0,0.17,490.1,2023-08
ORD-00088,2024-07-15,South,Clothing,9,68.27,24.0,0.03,596.0,2024-07
ORD-00089,2024-08-31,South,Books,6,28.82,25.0,0.16,145.25,2024-08
ORD-00090,2023-11-15,North,Clothing,6,30.71,58.0,0.03,178.73,2023-11
ORD-00091,2024-08-11,East,Sports,3,52.81,39.0,0.07,147.34,2024-08
ORD-00092,2024-09-07,North,Electronics,8,9.15,40.0,0.29,51.97,2024-09
ORD-00093,2023-10-11,North,Home,3,39.45,14.0,0.1,106.52,2023-10
ORD-00094,2024-10-18,East,Clothing,4,46.09,31.0,0.15,156.71,2024-10
ORD-00095,2023-07-30,South,Books,3,188.06624999999997,44.0,0.37,355.45,2023-07
ORD-00096,2023-06-25,North,Books,4,136.49,40.0,0.02,535.04,2023-06
ORD-00097,2024-05-13,West,Sports,5,85.12,37.0,0.33,285.15,2024-05
ORD-00098,2024-04-10,West,Books,1,110.09,40.0,0.3,77.06,2024-04
ORD-00099,2023-04-13,North,Clothing,8,30.51,42.0,0.38,151.33,2023-04
ORD-00100,2024-08-31,North,Clothing,5,69.5,53.0,0.12,305.8,2024-08
ORD-00101,2023-05-27,South,Sports,11,101.68,37.0,0.38,693.46,2023-05
ORD-00102,2024-08-11,West,Home,2,30.73,37.0,0.05,58.39,2024-08
ORD-00103,2023-01-06,West,Electronics,8,19.97,26.0,0.26,118.22,2023-01
ORD-00104,2024-08-05,North,Sports,2,79.4,25.0,0.23,122.28,2024-08
ORD-00105,2024-07-29,West,Books,7,21.96,47.0,0.01,152.18,2024-07
ORD-00106,2024-07-24,North,Electronics,6,90.18,37.0,0.09,492.38,2024-07
ORD-00107,2024-05-01,South,Books,5,125.01,33.0,0.23,481.29,2024-05
ORD-00108,2023-12-11,West,Books,8,31.51,55.0,0.27,184.02,2023-12
ORD-00109,2024-05-30,North,Books,10,33.43,37.0,0.6,133.72,2024-05
ORD-00110,2023-07-22,North,Sports,4,122.75,49.0,0.35,319.15,2023-07
ORD-00111,2024-07-24,South,Home,10,66.63,18.0,0.15,566.35,2024-07
ORD-00112,2024-02-11,East,Home,3,112.76,19.0,0.04,324.75,2024-02
ORD-00113,2023-12-02,West,Books,4,54.18,55.0,0.03,210.22,2023-12
ORD-00114,2024-01-05,West,Electronics,4,57.05,37.0,0.21,180.28,2024-01
ORD-00115,2024-02-20,North,Electronics,11,65.47,39.0,0.17,597.74,2024-02
ORD-00116,2023-01-28,North,Sports,2,168.19,25.0,0.15,285.92,2023-01
ORD-00117,2023-04-13,West,Clothing,5,107.32,39.0,0.33,359.52,2023-04
ORD-00118,2023-06-29,North,Home,5,38.49,24.0,0.3,134.72,2023-06
ORD-00119,2023-03-25,West,Clothing,9,72.86,52.0,0.02,642.63,2023-03
ORD-00120,2023-11-18,East,Clothing,6,51.56,71.0,0.2,247.49,2023-11
ORD-00121,2024-05-03,North,Home,11,188.06624999999997,44.0,0.25,1551.55,2024-05
ORD-00122,2024-04-23,West,Sports,9,88.57,30.0,0.06,749.3,2024-04
ORD-00123,2023-12-11,North,Home,8,77.34,37.0,0.01,612.53,2023-12
ORD-00124,2024-09-17,South,Electronics,9,31.79,18.0,0.33,191.69,2024-09
ORD-00125,2024-02-18,East,Clothing,2,65.58,57.0,0.3,91.81,2024-02
ORD-00126,2023-02-27,South,Electronics,5,43.97,26.0,0.11,195.67,2023-02
ORD-00127,2024-07-13,East,Sports,7,85.02,37.0,0.07,553.48,2024-07
ORD-00128,2024-02-25,East,Clothing,3,42.56,46.0,0.22,99.59,2024-02
ORD-00129,2024-04-08,West,Clothing,2,57.29,56.0,0.15,97.39,2024-04
ORD-00130,2024-02-18,West,Electronics,2,45.86,36.0,0.17,76.13,2024-02
ORD-00131,2024-02-09,South,Home,9,15.43,33.0,0.03,134.7,2024-02
ORD-00132,2023-03-08,North,Sports,8,163.14,39.0,0.05,1239.86,2023-03
ORD-00133,2024-02-13,East,Home,4,65.09,30.0,0.15,221.31,2024-02
ORD-00134,2024-08-04,West,Books,9,166.59,31.0,0.16,1259.42,2024-08
ORD-00135,2023-08-11,South,Electronics,8,67.08,43.0,0.35,348.82,2023-08
ORD-00136,2024-03-16,South,Electronics,9,98.8,40.0,0.11,791.39,2024-03
ORD-00137,2023-01-23,South,Books,11,40.4,64.0,0.04,426.62,2023-01
ORD-00138,2023-09-12,North,Electronics,10,41.15,43.0,0.15,349.78,2023-09
ORD-00139,2023-11-16,East,Home,2,62.68,52.0,0.24,95.27,2023-11
ORD-00140,2024-12-19,South,Clothing,9,165.68,25.0,0.13,1297.27,2024-12
ORD-00141,2023-06-06,West,Electronics,5,32.66,44.0,0.45,89.82,2023-06
ORD-00142,2023-07-22,West,Home,5,12.17,29.0,0.52,29.21,2023-07
ORD-00143,2023-10-26,West,Sports,8,121.0,43.0,0.38,600.16,2023-10
ORD-00144,2024-12-26,South,Electronics,7,188.06624999999997,46.0,0.35,855.7,2024-12
ORD-00145,2024-09-15,South,Sports,5,47.73,39.0,0.31,164.67,2024-09
ORD-00146,2023-01-26,East,Home,11,188.06624999999997,67.0,0.31,1427.42,2023-01
ORD-00147,2023-06-21,West,Books,2,66.39500000000001,55.0,0.09,120.84,2023-06
ORD-00148,2024-08-23,South,Electronics,2,14.45,52.0,0.13,25.14,2024-08
ORD-00149,2023-02-12,West,Sports,1,39.71,47.0,0.22,30.97,2023-02
ORD-00150,2024-09-17,North,Electronics,9,62.37,59.0,0.26,415.38,2024-09
ORD-00151,2023-07-25,West,Sports,5,83.54,21.0,0.32,284.04,2023-07
ORD-00152,2024-11-01,North,Books,5,75.64,54.0,0.24,287.43,2024-11
ORD-00153,2023-08-03,North,Clothing,8,64.93,26.0,0.16,436.33,2023-08
ORD-00154,2023-11-14,South,Electronics,5,28.92,37.0,0.11,128.69,2023-11
ORD-00155,2024-04-28,North,Books,7,90.3,45.0,0.19,512.0,2024-04
ORD-00156,2023-04-03,North,Electronics,1,93.57,53.0,0.14,80.47,2023-04
ORD-00157,2024-02-12,North,Books,2,66.39500000000001,24.0,0.11,118.18,2024-02
ORD-00158,2024-01-05,South,Books,11,25.77,32.0,0.13,246.62,2024-01
ORD-00159,2024-07-27,West,Clothing,5,66.39500000000001,39.0,0.08,305.42,2024-07
ORD-00160,2024-12-29,North,Clothing,2,46.08,36.0,0.14,79.26,2024-12
ORD-00161,2024-04-30,East,Clothing,5,25.38,48.0,0.23,97.71,2024-04
ORD-00162,2023-10-27,West,Clothing,4,55.17,79.0,0.11,196.41,2023-10
ORD-00163,2023-10-25,North,Electronics,4,30.07,43.0,0.43,68.56,2023-10
ORD-00164,2023-11-02,North,Clothing,4,66.39500000000001,29.0,0.24,201.84,2023-11
ORD-00165,2024-08-18,West,Books,9,103.47,22.0,0.31,642.55,2024-08
ORD-00166,2023-08-23,West,Clothing,2,47.55,34.0,0.21,75.13,2023-08
ORD-00167,2023-05-03,South,Books,4,38.29,27.0,0.07,142.44,2023-05
ORD-00168,2023-09-02,West,Sports,6,133.45,44.0,0.18,656.57,2023-09
ORD-00169,2023-01-17,North,Books,6,95.35,43.0,0.36,366.14,2023-01
ORD-00170,2023-03-19,South,Home,10,10.95,32.0,0.09,99.65,2023-03
ORD-00171,2023-03-07,East,Clothing,11,83.9,62.0,0.06,867.53,2023-03
ORD-00172,2024-07-18,North,Sports,4,83.64,29.0,0.15,284.38,2024-07
ORD-00173,2024-06-12,West,Clothing,6,53.58,37.0,0.12,282.9,2024-06
ORD-00174,2024-05-24,South,Home,1,52.18,46.0,0.23,40.18,2024-05
ORD-00175,2023-12-04,West,Home,7,17.1,49.0,0.16,100.55,2023-12
ORD-00176,2024-06-08,North,Books,2,188.06624999999997,53.0,0.35,244.49,2024-06
ORD-00177,2023-04-28,South,Home,1,55.02,37.0,0.03,53.37,2023-04
ORD-00178,2024-10-20,North,Books,8,80.99,51.0,0.38,401.71,2024-10
ORD-00179,2024-01-02,North,Sports,2,57.14,30.0,0.12,100.57,2024-01
ORD-00180,2024-11-16,West,Clothing,6,38.77,49.0,0.17,193.07,2024-11
ORD-00181,2023-04-22,North,Sports,2,108.49,49.0,0.18,177.92,2023-04
ORD-00182,2023-12-30,North,Electronics,9,71.41,56.0,0.06,604.13,2023-12
ORD-00183,2024-05-24,North,Sports,9,55.34,18.0,0.2,398.45,2024-05
ORD-00184,2023-12-29,North,Electronics,7,80.43,27.0,0.18,461.67,2023-12
ORD-00185,2023-11-23,West,Sports,10,60.81,48.0,0.22,474.32,2023-11
ORD-00186,2023-05-02,South,Clothing,5,173.49,37.0,0.12,763.36,2023-05
ORD-00187,2023-10-06,West,Sports,3,106.2,44.0,0.08,293.11,2023-10
ORD-00188,2023-06-24,North,Electronics,2,88.97,51.0,0.03,172.6,2023-06
ORD-00189,2023-08-09,East,Home,3,18.96,31.0,0.16,47.78,2023-08
ORD-00190,2024-05-14,South,Sports,3,90.95,33.0,0.03,264.66,2024-05
ORD-00191,2024-04-05,South,Electronics,4,89.52,25.0,0.72,100.26,2024-04
ORD-00192,2024-03-19,West,Clothing,3,30.49,32.0,0.33,61.28,2024-03
ORD-00193,2023-09-22,West,Electronics,7,18.58,32.0,0.12,114.45,2023-09
ORD-00194,2024-12-02,West,Clothing,2,103.5,30.0,0.1,186.3,2024-12
ORD-00195,2023-03-06,North,Clothing,7,111.64,29.0,0.21,617.37,2023-03
ORD-00196,2023-09-08,North,Books,4,41.31,35.0,0.08,152.02,2023-09
ORD-00197,2023-03-28,East,Clothing,8,39.96,35.0,0.48,166.23,2023-03
ORD-00198,2023-09-05,North,Electronics,6,70.6,60.0,0.16,355.82,2023-09
ORD-00199,2024-12-04,East,Electronics,10,47.44,33.0,0.19,384.26,2024-12
ORD-00200,2023-09-25,East,Sports,5,18.22,42.0,0.15,77.43,2023-09
ORD-00201,2024-10-26,East,Sports,4,30.22,31.0,0.15,102.75,2024-10
ORD-00202,2023-12-28,West,Clothing,7,79.09,31.0,0.17,459.51,2023-12
ORD-00203,2024-05-26,East,Electronics,8,31.57,18.0,0.11,224.78,2024-05
ORD-00204,2023-12-01,North,Electronics,5,115.15,19.0,0.21,454.84,2023-12
ORD-00205,2023-07-14,North,Sports,7,88.6,24.0,0.49,316.3,2023-07
ORD-00206,2024-07-12,East,Books,6,81.15,40.0,0.19,394.39,2024-07
ORD-00207,2024-12-09,South,Books,4,69.63,51.0,0.33,186.61,2024-12
ORD-00208,2023-07-12,North,Clothing,4,37.48,17.0,0.05,142.42,2023-07
ORD-00209,2024-07-23,South,Books,10,96.38,31.0,0.22,751.76,2024-07
ORD-00210,2023-07-10,West,Electronics,8,36.69,22.0,0.22,228.95,2023-07
ORD-00211,2024-06-08,West,Books,2,119.14,35.0,0.4,142.97,2024-06
ORD-00212,2024-07-30,East,Home,11,157.25,51.0,0.19,1401.1,2024-07
ORD-00213,2023-11-25,South,Clothing,8,71.13,33.0,0.11,506.45,2023-11
ORD-00214,2024-06-22,North,Books,1,144.77,37.0,0.16,121.61,2024-06
ORD-00215,2023-07-19,South,Books,9,30.55,55.0,0.29,195.21,2023-07
ORD-00216,2023-02-27,South,Home,7,188.06624999999997,43.0,0.25,987.35,2023-02
ORD-00217,2023-03-12,East,Electronics,11,63.84,29.0,0.34,463.48,2023-03
ORD-00218,2023-11-23,East,Electronics,6,104.61,40.0,0.07,583.72,2023-11
ORD-00219,2024-10-21,North,Sports,6,11.57,28.0,0.09,63.17,2024-10
ORD-00220,2023-04-04,North,Clothing,4,100.76,43.0,0.05,382.89,2023-04
ORD-00221,2023-11-30,North,Clothing,4,40.16,37.0,0.14,138.15,2023-11
ORD-00222,2024-05-29,West,Books,7,65.96,22.0,0.04,443.25,2024-05
ORD-00223,2023-05-28,East,Clothing,10,188.06624999999997,40.0,0.12,1654.98,2023-05
ORD-00224,2024-06-11,North,Clothing,10,91.13,37.0,0.17,756.38,2024-06
ORD-00225,2023-08-12,West,Books,9,83.66,45.0,0.11,670.12,2023-08
ORD-00226,2024-08-14,South,Home,7,79.36,48.0,0.04,533.3,2024-08
ORD-00227,2024-02-28,South,Books,6,126.85,44.0,0.15,646.93,2024-02
ORD-00228,2024-02-04,West,Electronics,4,106.85,34.0,0.17,354.74,2024-02
ORD-00229,2023-05-10,North,Home,9,79.92,49.0,0.1,647.35,2023-05
ORD-00230,2023-12-05,North,Home,4,73.66,28.0,0.15,250.44,2023-12
ORD-00231,2024-09-18,East,Books,3,70.5,37.0,0.08,194.58,2024-09
ORD-00232,2023-01-15,North,Electronics,10,61.51,37.0,0.29,436.72,2023-01
ORD-00233,2024-07-08,East,Electronics,7,188.06624999999997,37.0,0.2,1053.17,2024-07
ORD-00234,2023-12-27,North,Books,4,89.9,28.0,0.54,165.42,2023-12
ORD-00235,2024-06-09,North,Books,10,43.11,43.0,0.34,284.53,2024-06
ORD-00236,2024-04-29,North,Sports,11,56.58,14.0,0.11,553.92,2024-04
ORD-00237,2023-11-12,South,Clothing,4,111.36,30.0,0.08,409.8,2023-11
ORD-00238,2023-08-14,North,Sports,6,62.49,44.0,0.5,187.47,2023-08
ORD-00239,2024-04-03,North,Clothing,6,59.27,26.0,0.17,295.16,2024-04
ORD-00240,2023-04-13,West,Books,8,71.27,43.0,0.22,444.72,2023-04
ORD-00241,2024-03-02,South,Electronics,11,51.72,31.0,0.34,375.49,2024-03
ORD-00242,2023-03-11,South,Sports,7,188.06624999999997,38.0,0.39,803.04,2023-03
ORD-00243,2024-04-20,North,Clothing,9,182.58,45.0,0.15,1396.74,2024-04
ORD-00244,2024-04-04,South,Sports,7,66.39500000000001,49.0,0.11,413.64,2024-04
ORD-00245,2023-03-03,North,Clothing,10,79.53,39.0,0.29,564.66,2023-03
ORD-00246,2024-07-07,East,Books,5,41.15,28.0,0.04,197.52,2024-07
ORD-00247,2023-10-31,North,Home,5,113.22,33.0,0.19,458.54,2023-10
ORD-00248,2024-07-29,West,Electronics,5,52.0,46.0,0.18,213.2,2024-07
ORD-00249,2023-01-31,West,Electronics,11,119.41,26.0,0.32,893.19,2023-01
ORD-00250,2023-05-12,North,Books,7,39.77,36.0,0.15,236.63,2023-05
ORD-00251,2023-12-28,North,Electronics,2,66.39500000000001,33.0,0.24,100.92,2023-12
ORD-00252,2023-05-18,North,Clothing,1,129.87,37.0,0.2,103.9,2023-05
ORD-00253,2023-08-30,East,Home,6,54.02,26.0,0.1,291.71,2023-08
ORD-00254,2024-04-27,North,Clothing,9,53.89,16.0,0.11,431.66,2024-04
ORD-00255,2023-04-16,West,Electronics,6,20.24,44.0,0.24,92.29,2023-04
ORD-00256,2024-05-10,West,Books,7,40.66,50.0,0.48,148.0,2024-05
ORD-00257,2023-03-17,West,Books,9,78.53,37.0,0.15,600.75,2023-03
ORD-00258,2023-05-09,South,Books,6,86.29,42.0,0.09,471.14,2023-05
ORD-00259,2024-03-05,West,Sports,10,94.4,51.0,0.23,726.88,2024-03
ORD-00260,2024-08-03,North,Electronics,8,14.09,45.0,0.1,101.45,2024-08
ORD-00261,2023-05-05,South,Home,9,52.17,33.0,0.22,366.23,2023-05
ORD-00262,2023-08-08,South,Clothing,9,22.32,27.0,0.19,162.71,2023-08
ORD-00263,2024-11-07,West,Sports,7,76.0,39.0,0.3,372.4,2024-11
ORD-00264,2024-12-24,East,Home,1,17.12,41.0,0.1,15.41,2024-12
ORD-00265,2024-02-29,West,Electronics,5,27.89,39.0,0.16,117.14,2024-02
ORD-00266,2023-11-23,North,Books,2,105.72,36.0,0.41,124.75,2023-11
ORD-00267,2023-09-11,West,Electronics,6,44.12,25.0,0.43,150.89,2023-09
ORD-00268,2024-03-23,South,Clothing,2,145.52,43.0,0.08,267.76,2024-03
ORD-00269,2024-03-07,South,Books,6,95.96,44.0,0.24,437.58,2024-03
ORD-00270,2023-08-04,West,Home,4,54.23,40.0,0.59,88.94,2023-08
ORD-00271,2023-01-17,South,Books,1,116.16,39.0,0.41,68.53,2023-01
ORD-00272,2023-04-21,South,Home,2,57.44,58.0,0.26,85.01,2023-04
ORD-00273,2024-12-01,East,Sports,6,101.99,31.0,0.18,501.79,2024-12
ORD-00274,2023-11-02,North,Home,1,39.21,53.0,0.19,31.76,2023-11
ORD-00275,2023-12-19,South,Electronics,10,120.34,29.0,0.02,1179.33,2023-12
ORD-00276,2023-12-08,North,Electronics,9,18.57,51.0,0.07,155.43,2023-12
ORD-00277,2024-07-26,North,Books,8,27.86,53.0,0.3,156.02,2024-07
ORD-00278,2023-02-17,West,Electronics,2,31.74,34.0,0.13,55.23,2023-02
ORD-00279,2023-03-02,East,Clothing,9,42.3,58.0,0.14,327.4,2023-03
ORD-00280,2023-07-21,South,Electronics,7,80.34,44.0,0.1,506.14,2023-07
ORD-00281,2023-12-22,South,Clothing,5,64.75,27.0,0.06,304.32,2023-12
ORD-00282,2024-05-05,South,Home,1,102.73,34.0,0.06,96.57,2024-05
ORD-00283,2023-12-25,East,Electronics,6,130.98,52.0,0.19,636.56,2023-12
ORD-00284,2023-11-19,West,Home,9,16.81,49.0,0.23,116.49,2023-11
ORD-00285,2024-11-16,West,Sports,1,140.67,25.0,0.05,133.64,2024-11
ORD-00286,2023-04-28,South,Electronics,1,56.58,36.0,0.13,49.22,2023-04
ORD-00287,2024-02-22,South,Electronics,5,177.62,37.0,0.14,763.77,2024-02
ORD-00288,2024-02-01,South,Clothing,6,66.39500000000001,32.0,0.1,358.53,2024-02
ORD-00289,2023-12-13,East,Sports,6,12.66,66.0,0.17,63.05,2023-12
ORD-00290,2024-08-13,South,Home,5,96.64,41.0,0.31,333.41,2024-08
ORD-00291,2023-07-15,East,Books,3,92.89,37.0,0.22,217.36,2023-07
ORD-00292,2024-11-28,East,Electronics,1,28.45,52.0,0.15,24.18,2024-11
ORD-00293,2023-08-31,South,Books,1,30.75,34.0,0.19,24.91,2023-08
ORD-00294,2024-02-03,South,Electronics,2,107.53,50.0,0.36,137.64,2024-02
ORD-00295,2024-01-16,South,Books,8,82.84,18.0,0.2,530.18,2024-01
ORD-00296,2024-09-13,North,Electronics,9,52.74,33.0,0.22,370.23,2024-09
ORD-00297,2023-11-17,North,Sports,5,88.24,51.0,0.12,388.26,2023-11
ORD-00298,2023-07-28,East,Clothing,1,77.63,57.0,0.06,72.97,2023-07
ORD-00299,2023-01-16,South,Electronics,5,33.32,29.0,0.02,163.27,2023-01
ORD-00300,2023-09-23,North,Clothing,11,112.54,27.0,0.13,1077.01,2023-09
ORD-00301,2024-08-27,East,Electronics,3,99.34,45.0,0.17,247.36,2024-08
ORD-00302,2023-01-08,West,Electronics,6,65.73,31.0,0.17,327.34,2023-01
ORD-00303,2024-10-17,North,Home,6,107.58,35.0,0.04,619.66,2024-10
ORD-00304,2024-02-01,West,Clothing,4,188.06624999999997,49.0,0.08,692.08,2024-02
ORD-00305,2023-04-13,West,Clothing,5,30.46,31.0,0.24,115.75,2023-04
ORD-00306,2023-08-09,East,Sports,6,54.4,14.0,0.17,270.91,2023-08
ORD-00307,2024-02-10,East,Electronics,6,56.26,22.0,0.24,256.55,2024-02
ORD-00308,2023-08-19,North,Clothing,8,106.12,38.0,0.55,382.03,2023-08
ORD-00309,2023-03-21,West,Electronics,7,41.92,16.0,0.16,246.49,2023-03
ORD-00310,2024-05-01,South,Home,1,102.46,34.0,0.13,89.14,2024-05
ORD-00311,2024-05-06,West,Clothing,1,45.57,21.0,0.18,37.37,2024-05
ORD-00312,2023-03-28,East,Electronics,5,27.75,58.0,0.18,113.78,2023-03
ORD-00313,2023-07-25,North,Electronics,10,68.33,64.0,0.22,532.97,2023-07
ORD-00314,2023-06-28,North,Sports,1,44.86,25.0,0.16,37.68,2023-06
ORD-00315,2024-04-27,East,Electronics,1,72.85,41.0,0.43,41.52,2024-04
ORD-00316,2024-06-17,East,Books,8,84.44,26.0,0.15,574.19,2024-06
ORD-00317,2024-06-15,North,Sports,5,17.93,34.0,0.54,41.24,2024-06
ORD-00318,2024-11-17,East,Home,3,48.62,60.0,0.17,121.06,2024-11
ORD-00319,2024-07-15,West,Clothing,3,68.37,32.0,0.09,186.65,2024-07
